,K_emph,K_blur,K_noisy,K_blur_noisy,I_emph,I_blur,I_noisy,I_blur_noisy,A_emph,A_blur,A_noisy,A_blur_noisy
K_emph,8.1005,8.17606,8.584537389,7.917890619,2.864,3.196172222,2.958718827,2.986297052,1.7721,2.352821667,2.198009077,2.70806575
K_blur,8.17606,8.412585414,8.715976095,8.125270076,3.545393333,3.947796117,3.682447459,3.700858848,2.42139,3.051440855,2.884602317,3.389291177
K_noisy,8.584537389,8.715976095,9.34949705,8.577262723,3.495857619,3.796052877,3.711579573,3.654568585,1.746829775,2.293325518,2.139042729,2.677412811
K_blur_noisy,7.917890619,8.125270076,8.577262723,7.976464442,3.470826865,3.815127917,3.663388236,3.647565956,2.191199682,2.721865716,2.57544791,3.052678444
I_emph,2.864,3.545393333,3.495857619,3.470826865,7.4605,7.4901,7.684725569,7.128213458,1.7721,2.489616667,2.115190452,2.614532881
I_blur,3.196172222,3.947796117,3.796052877,3.815127917,7.4901,7.672611519,7.778477777,7.285564066,2.265422778,3.004334117,2.68311851,3.154459142
I_noisy,2.958718827,3.682447459,3.711579573,3.663388236,7.684725569,7.778477777,8.181805884,7.558311321,1.409077043,2.051824911,1.78066956,2.302889592
I_blur_noisy,2.986297052,3.700858848,3.654568585,3.647565956,7.128213458,7.285564066,7.558311321,7.050665329,1.879958111,2.49570379,2.258812978,2.709061554
A_emph,1.7721,2.42139,1.746829775,2.191199682,1.7721,2.265422778,1.409077043,1.879958111,8.1005,8.135335556,8.29111001,7.659929046
A_blur,2.352821667,3.051440855,2.293325518,2.721865716,2.489616667,3.004334117,2.051824911,2.49570379,8.135335556,8.430977525,8.461623821,7.972244993
A_noisy,2.198009077,2.884602317,2.139042729,2.57544791,2.115190452,2.68311851,1.78066956,2.258812978,8.29111001,8.461623821,8.708098392,8.102775374
A_blur_noisy,2.70806575,3.389291177,2.677412811,3.052678444,2.614532881,3.154459142,2.302889592,2.709061554,7.659929046,7.972244993,8.102775374,7.682946035
,,,,,,,,,,,,
,,,,,,,,,,,,
K_I,56.13665149,4.678054291,,,,,,,,,,
K_A,40.17552343,3.347960286,,,,,,,,,,
I_A,36.98677209,3.082231007,,,,,,,,,,
